pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,Unnamed: 9,248.972,mappedSection,mappedSegRangeVar
720575940610522009,427.22,242.072,149.84,427.124,242.036,149.88,LC4,,,dend[323],0.1648272824922132
720575940630851036,416.192,233.04,158.28,416.196,232.908,158.32,LC4,,,dend[551],0.6771157340156785
720575940618371520,406.424,240.912,159.12,406.336,240.836,159.12,LC4,,,dend[523],0.710390089267347
720575940616713355,435.212,239.836,143.0,435.112,239.728,143.04,LC4,,,dend[1540],0.8590658684159931
720575940626916936,433.568,237.58,142.12,433.48,237.652,142.08,LC4,,,dend[1512],0.6318419803756707
720575940630998339,405.264,243.976,156.96,405.388,244.0,156.96,LC4,,,dend[894],0.46091893513319493
720575940617026260,419.024,236.576,159.08,419.14,236.54,159.08,LC4,,,dend[590],0.9017128769538675
720575940618676440,428.492,234.832,152.0,428.536,234.96,152.04,LC4,,,dend[261],0.22152058290399929
720575940630826552,419.088,245.556,143.6,419.12,245.432,143.6,LC4,,,dend[1462],0.5744235402428569
720575940610522009,430.376,242.864,142.64,430.332,242.72,142.64,LC4,,,dend[1589],0.9537417105885028
720575940625991043,426.048,239.364,141.16,425.904,239.296,141.16,LC4,,,dend[1606],0.5674688112716343
720575940617266722,434.328,232.996,149.48,434.368,233.116,149.44,LC4,,,dend[82],0.4412203838199453
720575940626916936,403.7,244.484,163.0,403.648,244.376,163.04,LC4,,,dend[908],0.2873640998832301
720575940617026260,423.868,234.3,154.08,423.76,234.216,154.12,LC4,,,dend[134],0.9652280030764311
720575940613022175,432.688,233.116,154.28,432.768,233.024,154.2,LC4,,,dend[276],0.6377198688678
720575940634517856,422.78,236.832,151.4,422.784,236.716,151.4,LC4,,,dend[249],0.07633607175496587
720575940628064260,414.016,241.16,154.96,413.932,241.1,154.92,LC4,,,dend[706],1.0
720575940620903551,419.248,233.916,153.32,419.352,233.88,153.36,LC4,,,dend[193],0.1317482528408679
720575940628064260,429.672,237.148,145.4,429.768,237.028,145.4,LC4,,,dend[1506],0.47211639578496356
720575940616713355,426.452,240.848,151.56,426.512,240.712,151.48,LC4,,,dend[314],0.6945589515574342
720575940625991043,400.08,244.168,159.48,400.224,244.192,159.48,LC4,,,dend[998],0.815202768545975
720575940630826552,413.424,241.2,157.48,413.38,241.304,157.52,LC4,,,dend[712],1.0
720575940615127227,432.504,235.392,135.4,432.408,235.428,135.4,LC4,,,dend[106],0.8576971358540485
720575940618312606,405.04,244.024,159.0,404.932,244.048,159.0,LC4,,,dend[895],0.6234313248767169
720575940615462587,419.984,237.8,152.52,419.928,237.688,152.52,LC4,,,dend[240],1.0
720575940618312606,403.292,242.888,165.44,403.152,242.832,165.4,LC4,,,dend[469],0.7767313153705631
720575940617026260,423.608,234.136,154.4,423.48,234.192,154.44,LC4,,,dend[134],0.6474068237474407
720575940613260959,412.532,234.696,161.12,412.456,234.512,161.16,LC4,,,dend[433],0.5764152008377971
720575940618723749,429.16,233.608,145.64,429.184,233.532,145.68,LC4,,,dend[823],0.7882085785382366
720575940618371520,401.48,239.9,167.08,401.272,239.876,167.04,LC4,,,dend[964],1.0
720575940625038090,398.54,240.604,167.32,398.548,240.72,167.32,LC4,,,dend[1108],0.839498618957348
720575940628454522,415.792,235.544,158.72,415.808,235.392,158.72,LC4,,,dend[563],1.0
720575940612518055,413.272,242.192,159.6,413.284,242.312,159.6,LC4,,,dend[717],0.20663856606680248
720575940614572742,410.488,240.772,159.2,410.536,240.848,159.2,LC4,,,dend[517],1.0
720575940633580384,403.6,244.296,163.56,403.472,244.312,163.56,LC4,,,dend[908],0.671120663555428
720575940625934973,401.816,239.464,164.6,401.768,239.364,164.64,LC4,,,dend[962],0.9158092283533446
720575940619700229,394.244,246.928,160.92,394.288,246.812,160.92,LC4,,,dend[1281],0.741739539376588
720575940620903551,435.472,240.292,139.76,435.504,240.388,139.76,LC4,,,dend[1527],0.2431698431676445
720575940615127227,418.652,232.16,156.44,418.576,232.28,156.48,LC4,,,dend[542],0.9747893180698698
720575940620903551,392.272,239.392,168.64,392.296,239.52,168.64,LC4,,,dend[1201],0.6772757726641765
720575940632769180,401.66,246.868,162.12,401.616,246.74,162.12,LC4,,,dend[900],1.0
720575940622539800,413.248,233.972,158.88,413.292,233.892,158.88,LC4,,,dend[430],0.9650610734214563
720575940615053580,403.768,247.056,158.12,403.732,246.912,158.12,LC4,,,dend[879],0.5671507613837334
720575940649229433,395.312,247.448,159.76,395.284,247.376,159.8,LC4,,,dend[1008],0.6965825221812492
720575940615053580,394.812,248.464,161.68,394.74,248.36,161.68,LC4,,,dend[1296],0.436766585113528
720575940618807105,425.768,239.512,150.12,425.736,239.608,150.12,LC4,,,dend[331],0.8971747104996545
720575940610522009,397.64,247.144,159.36,397.712,247.236,159.36,LC4,,,dend[1010],0.5627345886318336
720575940614914107,413.012,230.88,155.36,412.956,230.936,155.4,LC4,,,dend[372],0.8468781390862914
720575940613022175,431.412,242.272,140.08,431.492,242.344,140.08,LC4,,,dend[1594],0.7126019603412712
720575940618113300,419.38,239.32,151.2,419.26,239.232,151.2,LC4,,,dend[211],1.0
720575940629753807,432.148,236.36,138.24,432.088,236.26,138.24,LC4,,,dend[98],0.617746070216799
720575940628122883,406.128,241.832,156.8,406.168,241.96,156.84,LC4,,,dend[892],0.5967444385867461
720575940618676440,390.408,246.16,169.48,390.412,246.024,169.48,LC4,,,dend[1133],0.9870550816530597
,,,,,,,,,,dend_11[55],
720575940618807105,396.64,241.692,167.4,396.64,241.584,167.4,LC4,,,dend[1103],0.2947979672953497
720575940625991043,413.952,239.412,151.0,413.96,239.54,150.96,LC4,,,dend[693],0.5275476599949444
720575940632769180,415.772,232.44,152.88,415.856,232.52,152.88,LC4,,,dend[619],0.7176294001912379
720575940638496720,425.42,233.944,157.2,425.48,233.812,157.2,LC4,,,dend[143],0.7208384250741449
720575940629753807,410.696,238.74,162.72,410.496,238.696,162.72,LC4,,,dend[439],0.32098234099054324
720575940605598892,410.384,240.304,155.84,410.504,240.32,155.84,LC4,,,dend[702],0.2684201259588555
720575940622939836,431.984,229.34,155.0,432.088,229.268,155.04,LC4,,,dend[175],0.512545946105927
720575940619700229,428.42,234.632,139.6,428.444,234.556,139.6,LC4,,,dend[1497],0.7826227199651035
720575940618723749,427.464,233.208,156.64,427.472,233.056,156.64,LC4,,,dend[170],0.32102653507741025
720575940618723749,418.856,236.624,157.92,418.84,236.516,157.92,LC4,,,dend[584],0.8260360803754621
720575940620903551,414.232,239.528,161.92,414.332,239.652,161.92,LC4,,,dend[597],0.9135270820309913
720575940614572742,394.196,240.34,168.24,394.072,240.224,168.2,LC4,,,dend[1215],1.0
720575940611134833,392.196,241.76,166.44,392.24,241.644,166.44,LC4,,,dend[1121],0.5678374039402105
720575940628064260,425.984,233.216,155.68,426.124,233.244,155.64,LC4,,,dend[179],0.40925350623433654
720575940618312606,426.272,234.824,147.68,426.384,234.784,147.68,LC4,,,dend[838],0.5500580605803961
720575940613260959,411.984,236.144,161.24,411.88,236.264,161.24,LC4,,,dend[434],0.44350625521374026
720575940613260959,393.22,244.808,166.08,393.232,244.888,166.12,LC4,,,dend[1240],0.6258169059300458
720575940617026260,393.336,239.34,167.88,393.424,239.224,167.84,LC4,,,dend[1145],0.004615578125147219
720575940613260959,410.504,235.904,161.76,410.376,235.976,161.76,LC4,,,dend[435],1.0
720575940634517856,406.112,238.552,163.52,406.044,238.432,163.56,LC4,,,dend[457],1.0
720575940628064260,423.984,237.792,151.88,424.08,237.732,151.8,LC4,,,dend[306],1.0
720575940626626895,401.144,243.2,163.48,401.096,243.308,163.44,LC4,,,dend[989],0.7860539557895763
720575940618807105,433.036,230.216,155.8,433.036,230.344,155.8,LC4,,,dend[178],0.47650886544650134
720575940617176321,405.376,246.348,154.0,405.484,246.376,154.0,LC4,,,dend[1373],0.599099533670854
720575940625934973,414.788,235.736,152.2,414.772,235.624,152.2,LC4,,,dend[362],0.9602756838289841
720575940630484495,413.224,240.812,150.68,413.192,240.76,150.72,LC4,,,dend[759],1.0
720575940614914107,422.6,232.508,156.0,422.512,232.556,156.0,LC4,,,dend[184],0.38674628006797496
720575940617026260,404.276,241.516,165.24,404.176,241.432,165.24,LC4,,,dend[469],0.2557810545250873
720575940610522009,432.576,232.888,140.28,432.48,232.92,140.28,LC4,,,dend[109],0.9825405667731015
720575940616713355,395.728,247.712,162.48,395.576,247.812,162.44,LC4,,,dend[1291],0.4128520840633504
720575940614572742,410.008,240.124,158.76,409.976,240.024,158.8,LC4,,,dend[507],0.8661759425491313
720575940620903551,393.8,242.32,163.28,393.728,242.14,163.28,LC4,,,dend[1090],0.9737734313827998
720575940613260959,424.812,232.928,150.68,424.844,232.792,150.68,LC4,,,dend[341],0.43947795260041267
720575940625991043,398.828,244.476,158.76,398.736,244.616,158.72,LC4,,,dend[931],0.4118826015493526
720575940617026260,400.92,241.708,166.84,400.804,241.596,166.84,LC4,,,dend[960],1.0
720575940630017810,409.76,243.94,150.68,409.66,243.972,150.68,LC4,,,dend[1381],0.872025616490403
720575940618723749,427.608,242.208,145.48,427.632,242.104,145.48,LC4,,,dend[1615],0.5008947043308116
720575940628064260,431.788,232.304,153.36,431.816,232.42,153.32,LC4,,,dend[276],0.2583851047771421
720575940612518055,421.888,231.996,159.32,421.932,231.88,159.24,LC4,,,dend[151],0.8160583251380801
