pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,mappedSection,mappedSegRangeVar
720575940622939836,420.84,238.412,154.68,420.744,238.256,154.68,LC4,dend[1700],0.9261345322124769
720575940622531767,420.352,234.592,156.16,420.244,234.48,156.12,LC4,dend[1713],0.14092722977800853
720575940618312606,409.504,245.632,151.92,409.612,245.664,151.92,LC4,dend[1929],0.41938534461149596
720575940631338271,412.884,240.2,161.48,412.912,240.136,161.4,LC4,dend[1604],0.8187342774354299
720575940640612480,430.24,236.108,147.12,430.124,236.168,147.16,LC4,dend[1577],0.6076105039852483
720575940630826552,412.892,240.324,158.72,412.752,240.252,158.72,LC4,dend[1595],0.8107262055372684
720575940640612480,432.216,242.564,147.44,432.368,242.576,147.44,LC4,dend[1754],0.5305812403557709
720575940610522009,435.648,239.824,144.8,435.688,239.728,144.8,LC4,dend[1808],0.18556280051524135
720575940618371520,421.408,237.372,158.28,421.408,237.192,158.24,LC4,dend[1695],0.2676978669590565
720575940622939836,431.404,240.404,144.36,431.56,240.4,144.36,LC4,dend[1843],0.3887660428777848
720575940625038090,425.432,240.764,146.4,425.54,240.832,146.4,LC4,dend[1459],0.4803689004668256
720575940640612480,428.54,237.272,149.4,428.612,237.224,149.44,LC4,dend[1576],0.92910662823641
720575940615053580,429.74,237.32,145.68,429.62,237.476,145.68,LC4,dend[1484],1.0
720575940630826552,417.872,243.568,150.72,417.772,243.592,150.72,LC4,dend[1587],0.9458974961690797
720575940633580384,408.22,244.408,154.64,408.12,244.324,154.6,LC4,dend[1945],1.0
720575940617026260,420.848,243.496,147.52,420.984,243.536,147.52,LC4,dend[1649],1.0
720575940611134833,427.544,243.216,140.56,427.464,243.272,140.56,LC4,dend[1896],0.15915977465103662
720575940625934973,413.536,237.64,156.88,413.644,237.728,156.88,LC4,dend[1609],0.369965795070248
720575940615462587,429.4,233.804,154.48,429.516,233.788,154.48,LC4,dend[1568],0.028127552919032024
720575940612518055,418.696,246.06,149.16,418.552,245.992,149.2,LC4,dend[1647],0.3917921286133786
720575940622939836,420.836,238.424,154.64,420.748,238.308,154.64,LC4,dend[1700],0.9065777046930719
720575940617176321,435.548,239.996,141.64,435.608,240.056,141.6,LC4,dend[1840],0.3203414858822426
720575940617026260,413.52,234.72,154.48,413.64,234.76,154.48,LC4,dend[1614],0.611308590156577
720575940617266722,423.528,243.624,141.52,423.524,243.752,141.52,LC4,dend[1904],0.844275753133249
720575940625934973,424.084,237.416,155.08,424.144,237.532,155.08,LC4,dend[1675],0.5539733364867969
720575940617026260,424.76,244.304,140.72,424.84,244.424,140.72,LC4,dend[1901],0.4741043190892276
720575940605598892,435.792,239.352,144.88,435.948,239.36,144.84,LC4,dend[1808],0.23575907059131354
720575940611134833,415.276,242.176,154.72,415.232,242.052,154.68,LC4,dend[1592],0.26484767128307185
720575940614914107,424.156,238.032,147.56,424.192,237.908,147.6,LC4,dend[1469],0.9473128755128828
720575940615462587,428.888,240.232,147.04,428.904,240.084,147.04,LC4,dend[1480],0.6892519017307219
720575940625038090,424.16,240.912,146.96,424.116,240.984,146.96,LC4,dend[1581],0.6206360573547133
720575940638456227,435.912,239.552,141.04,435.968,239.656,141.0,LC4,dend[1840],0.4313802971934542
